File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/chown.c,36,1,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"chown (const char *file _GL_UNUSED, uid_t uid _GL_UNUSED,",d6b5954ede2408a1454d61db6b0201a5c9969473e68758f846b31d5768e68c53
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/chown.c,46,9,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,# undef chown,453d3ba32f6544d8cab2d37239f37830d216aff37537f198138aa4b8dafc9c27
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/chown.c,131,12,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"  result = chown (file, uid, gid);",f54a691d840517714c15f5b4869668601ab55cf4e1ec9615ab74b4a3b3197c39
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/chown.c,143,16,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"      result = chmod (file, st.st_mode & (S_IRWXU | S_IRWXG | S_IRWXO",e2a1c3c54947131330247e5d9eb7854226306ab0c7ca98a48989b00e2d838d61
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/lchown.c,35,10,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,#  undef chown,fd63e6909d2e185dcb7588843882f019a6e43a5aa6ad8120af5c72afd50271dc
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/lchown.c,57,10,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"  return chown (file, uid, gid);",f92e55dc8d9b2da0224d332df50a9ebe61ad8af00191540724ca5039ba73594e
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/lchown.c,85,16,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"        return chown (file, uid, gid);",f92e55dc8d9b2da0224d332df50a9ebe61ad8af00191540724ca5039ba73594e
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/lchown.c,94,16,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"        return chown (file, uid, gid);",f92e55dc8d9b2da0224d332df50a9ebe61ad8af00191540724ca5039ba73594e
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/stdio.in.h,745,8,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20",#undef gets,dd283fd71ce69b868fcae945217360e058d952eed916c03096ab6bec5fa7bd8a
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/stdio.in.h,747,18,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","_GL_WARN_ON_USE (gets, ""gets is a security hole - use fgets instead"");",e2c6057e23052072257b19e6c6368d87401351d7661c72c900b11e190e0a1f2f
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/sys_stat.in.h,432,19,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,#   define lchmod chmod,9c22b30054de4fe97194dfd0f6e0f46ee2c4ea71258e9a1af068417995baad89
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/sys_stat.in.h,436,34,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"_GL_CXXALIAS_RPL_CAST_1 (lchmod, chmod, int,",58149f1e0a7db2cd34709667d48eeaecd0962809731fd0efc1d16078ddfdb22c
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,264,18,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_WARN_ON_USE (chown, ""chdir is not always in <unistd.h> - """,223a1b900933cfa960d7f6cfb6158fb68253c44412959d62226516a61e4f5586
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,278,11,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,#   undef chown,b1265493f020918e852b08d4af6bf757f838d0ef63e411fe3609cd946d9a66a6
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,279,12,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,#   define chown rpl_chown,c94032a2453b1a7833b16dc60dbefa355c36377879c133e839658f44b9233af8
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,281,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_FUNCDECL_RPL (chown, int, (const char *file, uid_t uid, gid_t gid)",bd4f26b566441aed9a73522e7e466fb7e4de5f16d82b908149a05c2fc1209780
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,283,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_CXXALIAS_RPL (chown, int, (const char *file, uid_t uid, gid_t gid));",cbec4ddc5fa2c4dc5f60127179dbb553d88c78949781dd960a6aca731f1ddc72
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,286,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_FUNCDECL_SYS (chown, int, (const char *file, uid_t uid, gid_t gid)",fa69b2fff90c6a54b7f2e215d321afaa3d7508c12aa93eba02ba7b5d7e1f212f
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,289,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_CXXALIAS_SYS (chown, int, (const char *file, uid_t uid, gid_t gid));",1902614467055feb7ad4dc282681c175ac94f28898a41cf55911b7e14ebf629d
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,291,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,_GL_CXXALIASWARN (chown);,5ee92b711c1578717c2cef214a9a6ea3ee97c2a8013db6ec74fa3f035da535a7
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,293,9,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,# undef chown,453d3ba32f6544d8cab2d37239f37830d216aff37537f198138aa4b8dafc9c27
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,295,18,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_WARN_ON_USE (chown, ""chown fails to follow symlinks on some systems and """,3a3bcb1ac9592cc0f8e1c82e73c65b6ff4c2fce30682d054aeeafa2176837996
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1273,12,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20",#   define readlink rpl_readlink,552e0bff6647f7964b0bfd2c01a53992e7d20ddac2c4f802939b901df6dd0633
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1275,19,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","_GL_FUNCDECL_RPL (readlink, ssize_t,",a6f91fb88d8e60d79a31579762d326c55902b76893a8eac5516d3e45162fd10f
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1278,19,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","_GL_CXXALIAS_RPL (readlink, ssize_t,",fc1d143bb423a66f56082769984207bf76601e8cb8b139874dfcbca9b823c013
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1282,19,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","_GL_FUNCDECL_SYS (readlink, ssize_t,",3acd05dcc5b559a04b2b2ea3ca39ed766dd095157b4163e9ae77301ac1e1ec35
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1286,19,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","_GL_CXXALIAS_SYS (readlink, ssize_t,",829650544bf60b463fb17adabc89dcbd7b002d501d1656e7b6bea9ebfea58e7a
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1289,19,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20",_GL_CXXALIASWARN (readlink);,29d938c25e7ccdac01ac74d26088e1d64d631dae50865d2af6e8a274cf116ab3
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1291,9,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20",# undef readlink,c300eacea2069e7aa56def94c01db834a66102e8ce41d68d976b65ae22a0c0f8
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/unistd.in.h,1293,18,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","_GL_WARN_ON_USE (readlink, ""readlink is unportable - """,208615dc6f788d6138684e9129ed4e322c02248120415f4832ec98ab7410d7ee
/home/capstone/Desktop/root/cpio-2.13+dfsg/lib/sysdep.c,185,1,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"chown ( const char *filename __attribute__ ((unused)) ,  int owner __attribute__ ((unused)) ,  int group __attribute__ ((unused)) )",2c2116377aa710dc0ceac6de34d382f3edf2c95b716dc351d2622e71d6154a9e
/home/capstone/Desktop/root/cpio-2.13+dfsg/lib/sysdep.c,194,1,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","readlink ( const char *path __attribute__ ((unused)) ,  char *buf __attribute__ ((unused)) ,  size_t bufsiz __attribute__ ((unused)) )",7ba6202a63afcae9bfc1653310f3e6d48d7ae9f4950613734169610ed62f4bad
/home/capstone/Desktop/root/cpio-2.13+dfsg/lib/sysdep.h,144,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"int chown (const char *filename,int owner,int group);",953ed6d9f7e7d1d127dc597d02c380fb7d715a23fbaded328c8e8323a1fa56d8
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/copyin.c,612,12,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"      if ((chown (file_hdr->c_name, uid, gid) < 0)",cb5d88eb6195a62fd667dd1ba1715749ff8b613dd640df8eac3bab8ec5574cbf
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/copyin.c,617,7,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"  if (chmod (file_hdr->c_name, file_hdr->c_mode) < 0)",5627813ac1fdc69b6478615e50b148aedc8717eeefbe7d416e1101a043b26089
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/copyout.c,794,15,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","		link_size = readlink (orig_file_name, link_name,",a6f3695fccafaec34f2b2567319b79460b6b7799336eb44e56270687874f9e27
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/copypass.c,33,17,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,# define lchown chown,0e11ee5aab7e963d376fa0faf4bebc467d505fb1c06e2effd403197757226548
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/copypass.c,275,16,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","	  link_size = readlink (input_name.ds_string, link_name,",2b5275a6fef728f6aa8d9e84d4825b738cf671786ebcdde515b6080192e9774a
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/tar.c,75,7,5,buffer,strncat,"Easily used incorrectly (e.g., incorrectly computing the correct maximum size to add) [MS-banned] (CWE-120)","Consider strcat_s, strlcat, snprintf, or automatically resizing strings","Risk is high; the length parameter appears to be a constant, instead of computing the number of characters left.",CWE-120,"      strncat (hold_tar_filename, filename, TARNAMESIZE);",37db71aede6d3f1ee64c3daca73808beb403089f995f747d4a8072e64ffb51f6
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/util.c,1207,12,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"    return chown (name, uid, gid);",8892049fcfbf9d9c6bef58ad7a7ac66637a7f4492194bc4061295e9438022edd
/home/capstone/Desktop/root/cpio-2.13+dfsg/src/util.c,1216,12,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"    return chmod (name, mode);",53d8834513e0b788b5494aa6cbb1d20305d23be30361aa9764ae7fb4f09bade1
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-fmtstream.h,69,33,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define __argp_fmtstream_printf fprintf,83a8c21f5ecc0cce00c64f3a5e7c44fbaef5276ade302ea9ac363eb144b9a460
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-fmtstream.h,70,31,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define argp_fmtstream_printf fprintf,448f06932de8eb525240b8f24bb704082218388a7955ab1474e5ee97fbd094ef
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-fmtstream.h,131,29,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"     _GL_ATTRIBUTE_FORMAT ((printf, 2, 3));",41162afd24151e5bbc69acc69a565471d27a54b85d94b44e22e311ab99514f11
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-fmtstream.h,134,29,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"     _GL_ATTRIBUTE_FORMAT ((printf, 2, 3));",41162afd24151e5bbc69acc69a565471d27a54b85d94b44e22e311ab99514f11
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-help.c,1792,11,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"          vfprintf (stream, fmt, ap);",5d7defa3b1eccbceaffca6209761d4c447daefcabdaa117754658383b6f5eff5
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-help.c,1859,15,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"              vfprintf (stream, fmt, ap);",5d7defa3b1eccbceaffca6209761d4c447daefcabdaa117754658383b6f5eff5
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-namefrob.h,96,21,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,#define __vsnprintf vsnprintf,33a41aaf2f85907549c2fed85921112544a555b764839c6b4304e78af0f22f7b
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/argp-parse.c,611,13,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"            fprintf (parser->state.err_stream,",a6392a0dff159edc4442bc2b41d42284990abddd9e820decaf31db6196d4c09c
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/chdir-long.c,249,7,4,shell,execlp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"      execlp (cmd, (char *) NULL);",de6f8b1b1577c02f28eb7ea114f5f98808dbd7b66730c0dda8a23321c4c65dad
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/error.c,270,5,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    vfprintf (stderr, message, args);",125e3081f46dc22de81ef9437a6a0778bf39d287461c8d9232c7a64710ec54ba
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/error.c,385,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (stderr, file_name != NULL ? ""%s:%u: "" : "" "",",bc2b485d2daad3776d1e4103efe24364fb012dbabdcc5dfca765335290ebc8df
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/fnmatch.c,157,23,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"# define STRCAT(D, S) strcat (D, S)",77720eb24e9ec5ec1d17f864f9fd51098c151066bb1ee755e02f793c7c8da52e
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/fnmatch.c,187,25,4,buffer,wcscat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),,,CWE-120,"#   define STRCAT(D, S) wcscat (D, S)",5862893b4c772a6219b5767b8ce95f85beff352ae7d4146686997c72123fb200
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/localcharset.c,239,23,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                      strcpy (res_ptr + res_size - (l2 + 1) - (l1 + 1), buf1);",25b13a44a97b01dbd86cf3f02faffbf19e30c97199880ad840d0d1c1cc4bd232
/home/capstone/Desktop/root/cpio-2.13+dfsg/gnu/localcharset.c,240,23,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                      strcpy (res_ptr + res_size - (l2 + 1), buf2);",ffa728f33136a3ecb4c3904bb6098bcf608b1964327dfd1a0ce27ab06a30c537
