File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,914,6,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	if (chmod(tn, 0600) < OK)",cedcd474a4a6cf806436e1a3abce349a884acb55ab89906b30b6dd082af90a49
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,930,7,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"		if (chown(tn, pw->pw_uid, -1) != 0) {",3f4f6dddde82e0c2bf65991fc38e6fca13af67903991f830952cddecce81c525
/home/capstone/Desktop/root/cron-3.0pl1/misc.c,256,13,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"		if (OK == chown(SPOOL_DIR, -1, gr->gr_gid)) {",dc42ae6738250db1d1300033845be3ed2a8259c736b689d7165b5dd7321d76d6
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,60,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	(void) strcpy(temp, str);",ca1413b23be64684474991fa97d89051a0904203c6391e7a151e98a9bc7881e8
/home/capstone/Desktop/root/cron-3.0pl1/cron.c,282,6,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	if (access(REBOOT_FILE, F_OK) == 0) {",5a310c6600ab07a9fd1bd57dae079d0e6f87fd2b5b1688517052e34bcf3f9595
/home/capstone/Desktop/root/cron-3.0pl1/cron.h,125,5,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,				printf message;,6ab7d2f404e68cc20c3a90f403947c49a03b5cad4b6c7b6fb2801f787d90b8a5
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,305,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) snprintf(n, MAX_FNAME, CRON_TAB(User));",a6d7b30f2fd3a9fb395f5a1dc85038bf8c51658d7124b89cb9860d2e5e0c15bc
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,359,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) snprintf(n, MAX_FNAME, CRON_TAB(User));",a6d7b30f2fd3a9fb395f5a1dc85038bf8c51658d7124b89cb9860d2e5e0c15bc
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,421,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"		strcpy(Directory, tmp);",aff6e403a684adb315db3de1383fe63ae49d8b85a5dd57dbaea6deba0000b1c9
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,427,3,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"		strcat(Directory, template);",d968384b5bda3d8ac1a91d561b9217bb0994398a6f7af93ccd089ec6cd375e03
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,555,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) snprintf(n, MAX_FNAME, CRON_TAB(User));",a6d7b30f2fd3a9fb395f5a1dc85038bf8c51658d7124b89cb9860d2e5e0c15bc
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,690,3,4,shell,execlp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		execlp(_PATH_BSHELL, _PATH_BSHELL, ""-c"", q, NULL);",5bd88b3f14af517f72a3aa991b7beb9e2e8ce344e2b0f73c514d75281b46d774
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,828,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) snprintf(tn, MAX_FNAME, CRON_TAB(""tmp.XXXXXX""));",6a1e342a6d9a5789ffa72fafe2ccb95aabfa29f32f8d41da98da1772728cdcb4
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,937,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) snprintf(n, sizeof(n), CRON_TAB(User));",77d0e6f4c14b35f73e666ce5ff9d3e8c6b48949a91bd40775262050cb2ca9f01
/home/capstone/Desktop/root/cron-3.0pl1/database.c,121,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"			sprintf(syscrond_fname, ""%s/%s"", SYSCRONDIR,",bb267e3691e39c89f88928b9201a972e9f51b87acc4177abb3ac2607d83e6658
/home/capstone/Desktop/root/cron-3.0pl1/database.c,195,10,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"		(void) strcat(fname, dp->d_name);",ca3114c1f90f48f21f37900dec74a8089552df8ad9dc65643acfef881956ff73
/home/capstone/Desktop/root/cron-3.0pl1/database.c,196,3,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"		sprintf(tabname,""%s/%s"", SYSCRONDIR, dp->d_name);",cdcfef29509b846d48062f85452adcc8b2fe6064e5d1ce47aa2d327144d5434c
/home/capstone/Desktop/root/cron-3.0pl1/database.c,227,10,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"		(void) strcpy(fname, dp->d_name);",ae224b6fcfc48fad6d01d4e10c5d014001f9214c388906644344f5de53fa0c0d
/home/capstone/Desktop/root/cron-3.0pl1/database.c,228,3,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"		snprintf(tabname, PATH_MAX+1, CRON_TAB(fname));",96d4e9643f134411a131802eb118042c9f5d570e2622ad5c91f0100c8070226e
/home/capstone/Desktop/root/cron-3.0pl1/do_command.c,361,4,4,shell,execle,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"			execle(shell, shell, ""-c"", e->cmd, (char *)0, jobenv);",42783079d261655ee380ca2f382489e1e1b21316a254780f7ed1532e3d7b1a69
/home/capstone/Desktop/root/cron-3.0pl1/do_command.c,540,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) snprintf(mailcmd, sizeof(mailcmd),",eaa2c063db995c74df28d304791f5c7bf73d6c9c4cc2c345f5f4a6aa2163a191
/home/capstone/Desktop/root/cron-3.0pl1/env.c,260,13,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"					(void) strcpy(val, val+1);",988911866cb82a877ab1b2dd8b3dec7b416187f4312e7873ff99471b2f30837d
/home/capstone/Desktop/root/cron-3.0pl1/env.c,268,9,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	(void) sprintf(envstr, ""%s=%s"", name, val);",e25485f6976ff71d7f3a0faf8a518b56ff350da6e99e988775cd706a8a3e0cd7
/home/capstone/Desktop/root/cron-3.0pl1/externs.h,62,26,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"extern	char		*getenv(), *strcpy(), *strchr(), *strtok();",0499aac7d7cefce0a1c6688b6102c94bff1420eea4f4fdcdccf233a404c74476
/home/capstone/Desktop/root/cron-3.0pl1/misc.c,299,10,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"		(void) snprintf(pidfile, MAX_FNAME, PIDFILE, PIDDIR);",8bedb6f5113b053ead38b95deda506df9efcef53a3b8344b58c8231416bc5192
/home/capstone/Desktop/root/cron-3.0pl1/popen.c,152,3,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		execvp(gargv[0], gargv);",285fc4ae242b04872754c336c242035fc592552444440fdfff5903e23dbf845d
/home/capstone/Desktop/root/cron-3.0pl1/popen.c,154,3,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		execvp(argv[0], argv);",053dce70818b4a03dc9995a47be7b455711839ef6c997cb41e78530f74d0c97e
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,226,19,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20",	if (overwrite && getenv(name)),a3e30dadfcc2036565a1647a7fd8185b0cc98d40a9c5d09220478c3366e9a829
/home/capstone/Desktop/root/cron-3.0pl1/cron.c,468,25,3,buffer,getopt,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while (EOF != (argch = getopt(argc, argv, getoptarg))) {",47669575aee7568c57f9ea9dc5523a97fa0c7e024830a3a0fcaaa1c18f2651d1
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,183,25,3,buffer,getopt,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while (EOF != (argch = getopt(argc, argv, getoptarg))) {",47669575aee7568c57f9ea9dc5523a97fa0c7e024830a3a0fcaaa1c18f2651d1
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,323,15,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","	if (!(ctnh = getenv(""CRONTAB_NOHEADER"")) || toupper(*ctnh) != 'N') {",c03a310a06c2be2c72892c3289ff17d1dc93bb3ad35498d5829d886a4bde2d60
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,420,11,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","	if ((tmp=getenv(""TMPDIR"")) && strlen(tmp) < MAX_FNAME) {",7f5374e21b51d43b085a94cd4b59d7d03158604c7c8e233ad2ef51d648563751
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,645,19,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","	if ((!((editor = getenv(""VISUAL"")) && strlen(editor)))",0ca636c4e2f4563f6dab21d026678a2ab683aba49f6425701de7e5745292d92d
/home/capstone/Desktop/root/cron-3.0pl1/crontab.c,646,19,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","	 && (!((editor = getenv(""EDITOR"")) && strlen(editor)))",92fa723b15ae1c7e91ada7496975e34c5201f51637bbc437482d6a306814592c
/home/capstone/Desktop/root/cron-3.0pl1/externs.h,62,15,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","extern	char		*getenv(), *strcpy(), *strchr(), *strtok();",0499aac7d7cefce0a1c6688b6102c94bff1420eea4f4fdcdccf233a404c74476
/home/capstone/Desktop/root/cron-3.0pl1/externs.h,80,5,3,buffer,getopt,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","int	getopt __P((int, char * const *, const char *));",994b7ca116d18c6fc051b797454127638fe6ff1190ff4313a9fb9d7aafbf10e7
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,43,1,2,race,vfork,"On some old systems, vfork() permits race conditions, and it's very difficult to use correctly (CWE-362)",Use fork() instead,,CWE-362,vfork() {,0e8b40dc0ead937bed0a27cfc8a78db2f6e28c2c0b0d18d5c6ef329d6e9e067a
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,73,9,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,	static char buf[32];,701996e4e3c02254e699c8594de20f2b9e16505a1f4c84fb8206c695fc75cd98
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,112,12,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362)",,,CWE-362,"	if ((fd = open(""/dev/tty"", 2)) >= 0)",787c0bde66c080ed6b2bbfe89ed04bab04a5734a43c549c723e7781de50ab97e
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,120,30,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362)",,,CWE-362,"	(void) close(STDIN);	(void) open(""/dev/null"", 0);",1a0197dc9f87db4da3557a9be2a74806cd5ec116c62c8599d654296df345471d
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,121,31,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362)",,,CWE-362,"	(void) close(STDOUT);	(void) open(""/dev/null"", 1);",3553e4e514adb6bb6fe521310cd5f7eb04c456230cae19da74260408c0d1d081
/home/capstone/Desktop/root/cron-3.0pl1/compat.c,122,31,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362)",,,CWE-362,"	(void) close(STDERR);	(void) open(""/dev/null"", 2);",9f9564a86d12d0b603c9857e746ba4379bb343101de859f23280741b0563c1e9
/home/capstone/Desktop/root/cron-3.0pl1/cron.c,89,10,2,misc,open,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362)",,,CWE-362,"		(void) open(""dev/null"", 0);",4705b2434c3a4858e63a48c4c0a5619e5ca489fbdabeff22e7e26ce70687877c
