File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/asiohiper.cpp,88,35,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"static void timer_cb(const boost::system::error_code & error, GlobalInfo *g);",b3574655c053057fead919d49b592883699a315af62605797b2d7fd5d0d43aba
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/asiohiper.cpp,105,12,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,    boost::system::error_code error; /*success*/,f9cf67434f6a25702370e278de734a8b55bfdbb3c9974375c93ba7ef6cf672c2
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/asiohiper.cpp,184,47,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"                     int action, const boost::system::error_code & error,",99a3b8a963497c7b95e0a5630e3bdd6c2c0c8021ed2eb7bacbf50e817d346b1a
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/asiohiper.cpp,231,35,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"static void timer_cb(const boost::system::error_code & error, GlobalInfo *g)",cab57e3bfb1fa1a09628c4b0faa280915e2ec3be40e5fc4bf4bd90266f4f88d6
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/asiohiper.cpp,390,12,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,    boost::system::error_code ec;,23dc736d1644b827f933b2e189e36eca5ba34c1a949d9a1a25f48c3d75ae1d55
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/cookie_interface.c,93,9,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,#define snprintf _snprintf,194a915f111996f097c32cb39c273aa0eb69cf4c05382cee6ec1635f362440a9
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/cookie_interface.c,93,18,4,format,_snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,#define snprintf _snprintf,194a915f111996f097c32cb39c273aa0eb69cf4c05382cee6ec1635f362440a9
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/evhiperfifo.c,76,22,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define DPRINT(x...) printf(x),5545b3047dd47b91c639ef78f16208a953abb9e79c54202bba57712273c5144e
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/htmltidy.c,56,9,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,        printf(tidyAttrName(attr));,d5c3b8db84debf4df766a2c7ec7f60ab53d930c5444fee134e00c6d61c762005
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/rtsp.c,173,7,4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function",,"CWE-120, CWE-20","      sscanf(s, "" a = control: %s"", control);",43e72f42ef5ebfa2be17eda5a524f226a2e0a7b5e1d115f3b040ced31c5d17df
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/synctime.c,158,22,4,buffer,sscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function",,"CWE-120, CWE-20","        int RetVal = sscanf((char *)(ptr), ""Date: %s %hu %s %hu %hu:%hu:%hu"",",ae8d7e898255e6596b5c77bbb34b79625411e2bb03d2b0f8334f02be60ae0c5c
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/threaded-shared-conn.c,63,38,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"                    curl_lock_access access, void *userptr)",2c571e4f7c274ac5a1a1964e1b062ce1d60aec33ea2437f6b052e3548f6de0c0
/home/capstone/Desktop/root/curl-7.68.0/docs/examples/threaded-shared-conn.c,65,9,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,  (void)access; /* unused */,157f31eeed6fe666b7e826b03a35fd63897cfa3aa7cae699acae6b2877d945f4
/home/capstone/Desktop/root/curl-7.68.0/lib/content_encoding.c,784,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy(p, ce->name);",ec38bb3ed06a56b60a53cd87dd85b0f9052693962d8a0fd4cda96c46979ce017
/home/capstone/Desktop/root/curl-7.68.0/lib/curl_ntlm_wb.c,181,6,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"  if(access(ntlm_auth, X_OK) != 0) {",7c90538e7b3d26586a8b217db7b4cce1867c6c55ba386e0e1d58a9037008c9e2
/home/capstone/Desktop/root/curl-7.68.0/lib/curl_ntlm_wb.c,221,7,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"      execl(ntlm_auth, ntlm_auth,",1c6ec9690db8ece2b66214459ae9674c12527f9bde663e20ef6342c1ad397d43
