File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/file-5.38/src/fsmagic.c,295,14,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","		if ((nch = readlink(fn, buf, BUFSIZ-1)) <= 0) {",e0ad2eee4c4ba876d258640b5fdd0d2b325282fd3a1957f891e8594b0e7f7f59
/home/capstone/Desktop/root/file-5.38/src/seccomp.c,209,13,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20",	ALLOW_RULE(readlink);,bbbea3efcb99bb5cf00213f258714052393660bd1446964f6ae7be64b97d2fe7
/home/capstone/Desktop/root/file-5.38/src/apprentice.c,3252,7,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"		if (access(buf, R_OK) != -1) {",cdf895836c4aea102d4d9c38da795c4f697936a35ec311ffe97403af43a37984
/home/capstone/Desktop/root/file-5.38/src/apptype.c,62,8,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	(void)sprintf(path, ""%s%s%s%s"", drive,",c5e7d71347097cbe296f7f59f38446f5be96a49de8c36d20e4e74ec1a48906ca
/home/capstone/Desktop/root/file-5.38/src/cdf.c,63,20,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"#define DPRINTF(a) printf a, fflush(stdout)",3c449945a530b55b96a42ce1c946f29ea00b76074b9cd654e6090e4abf1c7c71
/home/capstone/Desktop/root/file-5.38/src/compress.c,453,15,4,tmpfile,mktemp,Temporary file race condition (CWE-377),,,CWE-377,		char *ptr = mktemp(buf);,aad5e02de082a9b680cb30f3f5133f869a7df691f66acbe51824c5f160d2096a
/home/capstone/Desktop/root/file-5.38/src/compress.c,888,9,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		(void)execvp(compr[method].argv[0],",67d4492fd991e725e58991454d77942810df055c5bae4022667e7dac168bd24e
/home/capstone/Desktop/root/file-5.38/src/der.c,119,20,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define DPRINTF(a) printf a,025f07e5199291a310095357a344eeb749844648466cabd0c6ff70659c443a6d
/home/capstone/Desktop/root/file-5.38/src/dprintf.c,48,8,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	len = vsnprintf(buf, sizeof(buf), fmt, ap);",859d33d76af469e5b78ab4205f65a75e4193c55d7c9c51f445fc71b2c00331b0
/home/capstone/Desktop/root/file-5.38/src/encoding.c,57,20,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define DPRINTF(a) printf a,025f07e5199291a310095357a344eeb749844648466cabd0c6ff70659c443a6d
/home/capstone/Desktop/root/file-5.38/src/file.c,594,8,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void)fprintf(stderr, USAGE, pn, pn, pn);",7a6dfdb43d3090d14012c1be255cb21cf6d39609eb961c4b617bdd5d6bd29fb6
/home/capstone/Desktop/root/file-5.38/src/file.c,647,2,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	fprintf(stdout, ""  -%c, --"" longname, shortname), \",4ee57b18c9c4c6051962421882802e8bf55503f19c31561960909dc2eb1046a3
/home/capstone/Desktop/root/file-5.38/src/file.c,650,2,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	fprintf(stdout, ""      --"" longname),	\",9077c4b36335588756f9b0fa03222f64f02b2882b5b16e61738ccf6805d3c294
/home/capstone/Desktop/root/file-5.38/src/file.c,681,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
/home/capstone/Desktop/root/file-5.38/src/file.c,694,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
/home/capstone/Desktop/root/file-5.38/src/file.c,708,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
/home/capstone/Desktop/root/file-5.38/src/file.c,722,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e
/home/capstone/Desktop/root/file-5.38/src/getopt_long.c,42,15,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define warnx printf,152b590afae6c1e905a060f1b50b7eeef397d4ea3d06aca685cde8dba93bb644
/home/capstone/Desktop/root/file-5.38/src/is_csv.c,47,27,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"#define DPRINTF(fmt, ...) printf(fmt, __VA_ARGS__)",d9a0f85732452c17b546b67ee7f0aafed9b6e62dee1b0f53e3920aa6957ebdf4
/home/capstone/Desktop/root/file-5.38/src/magic.c,102,6,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	if (access(tmppath, R_OK) == -1)",7f7eb78ffa16463f2fbf0240548418ed4684ffb6bbf8e24012ff54b353e66b25
/home/capstone/Desktop/root/file-5.38/src/magic.c,201,8,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"			if (access(hmagicpath, R_OK) == -1)",1b00bbbd24079bcd461dd1f9623d8fed2e511f78778f2caa14d088811276ae4c
/home/capstone/Desktop/root/file-5.38/src/magic.c,271,7,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"		if (access(file, W_OK) == 0)",adc4f0d641c0fa3fe6d8efc12a5f097a7cd32484b7f60d72080577c8db2177c7
/home/capstone/Desktop/root/file-5.38/src/magic.c,274,7,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"		if (access(file, X_OK) == 0)",bd14816cf335fa18e7635e6564ac799213b679e9b8761cc2e531ff37a0a69a99
/home/capstone/Desktop/root/file-5.38/src/print.c,227,9,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	(void) vfprintf(stderr, f, va);",4aa2e017692559815daa585b77176afaa6f4adbad8ba31923cbe896deb3611b2
/home/capstone/Desktop/root/file-5.38/src/readcdf.c,357,2,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	snprintf(buf, len, ""%.8"" PRIx64 ""-%.4"" PRIx64 ""-%.4"" PRIx64 ""-%.4""",2a93089872f84bc2e0d519a28769e395db9b597639fd7e815eb4f065f43946bd
/home/capstone/Desktop/root/file-5.38/src/seccomp.c,125,12,4,format,syslog,"If syslog's format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant format string for syslog,,CWE-134,	DENY_RULE(syslog);,f1d593793e2559382f078e4c02845a7230d62c3f1fda3b4a99352ae2edf3bd9b
/home/capstone/Desktop/root/file-5.38/src/seccomp.c,167,13,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,	ALLOW_RULE(access);,bd20a3e939e7acbfd87250ea286f1b8231d3782cac66f3e49fa8e6f7fe4ebcd8
