File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/fontconfig-2.13.1/src/fccache.c,1338,15,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	    else if (chmod ((char *) d, 0755) == 0)",f9d2292a05cf704dd4f5e9359c3c91a55186bbbcb2ff7aff809c0a26a8011564
/home/capstone/Desktop/root/fontconfig-2.13.1/src/fccompat.c,253,43,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	ret = mkdir ((char *) dir, 0755) == 0 && chmod ((char *) dir, 0755) == 0;",5b912ed2e8e8327ff0a8e793110897ee439a37cd2fb487ace56060518344aa7e
/home/capstone/Desktop/root/fontconfig-2.13.1/src/fccompat.c,255,73,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	ret = FcMakeDirectory (parent) && (mkdir ((char *) dir, 0755) == 0) && chmod ((char *) dir, 0755) == 0;",a4c9eac9a81019b2d255f02e12e1eef149698c77fd2c392de44ec1dcd3840bb5
/home/capstone/Desktop/root/fontconfig-2.13.1/src/fccompat.c,268,12,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    return readlink ((const char *) pathname, (char *)buf, bufsiz);",a9cda377949478305f6ebdce3727367463c9f1bb17b4310555b36ec9d6cb0310
/home/capstone/Desktop/root/fontconfig-2.13.1/src/fcdefault.c,165,12,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","	    len = readlink (""/proc/self/exe"", buf, size - 1);",a7f1c7dd7bf50b88fc6a41dd1f45f8eecf5f0ca47a1a236f2b91d96ab35461bf
/home/capstone/Desktop/root/fontconfig-2.13.1/test/test-bz106632.c,72,34,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	ret = mkdir (dir, 0755) == 0 && chmod (dir, 0755) == 0;",849a39ad7978c76ac6738f7bf2464a02a30c4081b39dabeab20839b6537fe916
/home/capstone/Desktop/root/fontconfig-2.13.1/test/test-bz106632.c,74,56,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	ret = mkdir_p (parent) && (mkdir (dir, 0755) == 0) && chmod (dir, 0755) == 0;",a33a37cff6052ec67130aa3963581c5e7f00e94a8b06d00157331348f71be283
/home/capstone/Desktop/root/fontconfig-2.13.1/test/test-migration.c,66,34,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	ret = mkdir (dir, 0755) == 0 && chmod (dir, 0755) == 0;",849a39ad7978c76ac6738f7bf2464a02a30c4081b39dabeab20839b6537fe916
/home/capstone/Desktop/root/fontconfig-2.13.1/test/test-migration.c,68,56,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	ret = mkdir_p (parent) && (mkdir (dir, 0755) == 0) && chmod (dir, 0755) == 0;",a33a37cff6052ec67130aa3963581c5e7f00e94a8b06d00157331348f71be283
/home/capstone/Desktop/root/fontconfig-2.13.1/doc/edit-sgml.c,255,5,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    fprintf (stderr, format, line, arg);",c96a80e4428a54107753c6caaea1f97b1cfb7f207206262bb856bb0ee4967eff
