File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/fribidi-1.0.8/bin/fribidi-benchmark.c,80,5,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    fprintf (stderr, fmt, arg);",ee544d3a238ff310343546b025b58b4cf0dc00f559dabc04e00d80694bff14a0
/home/capstone/Desktop/root/fribidi-1.0.8/bin/fribidi-benchmark.c,120,3,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  printf (appname "" %s"", fribidi_version_info);",beeeb9b9b630ef9206e988bd5c10a1787298e5cc61d62ee3357ae6f62b82e605
/home/capstone/Desktop/root/fribidi-1.0.8/bin/fribidi-main.c,77,5,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    fprintf (stderr, fmt, arg);",ee544d3a238ff310343546b025b58b4cf0dc00f559dabc04e00d80694bff14a0
/home/capstone/Desktop/root/fribidi-1.0.8/bin/fribidi-main.c,168,3,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  printf (appname "" %s"", fribidi_version_info);",beeeb9b9b630ef9206e988bd5c10a1787298e5cc61d62ee3357ae6f62b82e605
/home/capstone/Desktop/root/fribidi-1.0.8/bin/fribidi-main.c,183,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy (m, s);",f986f5d7b349a3f869b056187dccd49382681c5b687aea330d1e8ff15d5c7d2b
/home/capstone/Desktop/root/fribidi-1.0.8/gen.tab/gen-arabic-shaping-tab.c,65,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (stderr, appname "": %s\n"", msg);",5493b75b62498eb0af32ee4f9bf7b5215b49f02d83fa54f729f41d7e6dcd5317
/home/capstone/Desktop/root/fribidi-1.0.8/gen.tab/gen-arabic-shaping-tab.c,75,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (stderr, appname "": "");",e1f300150eb7f5c3c3f0fbad8d5872817f9ae91a3d7e8735f502b98411389980
/home/capstone/Desktop/root/fribidi-1.0.8/gen.tab/gen-arabic-shaping-tab.c,76,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (stderr, fmt, p);",422a42dd561252a450f5a7ab854813ebc4f6af774ed953d023e747aaf23a5ed4
/home/capstone/Desktop/root/fribidi-1.0.8/gen.tab/gen-arabic-shaping-tab.c,88,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (stderr, appname "": "");",e1f300150eb7f5c3c3f0fbad8d5872817f9ae91a3d7e8735f502b98411389980
/home/capstone/Desktop/root/fribidi-1.0.8/gen.tab/gen-arabic-shaping-tab.c,89,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (stderr, fmt, p, q);",d0e66e302be3a701a977ea51b5725737888fd93aeb79ca2b7d591df6a28fe9c5
