File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/gdbm-1.18.1/compat/dbmopen.c,174,29,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"  fd = ndbm_open_dir_file0 (strcat (strcpy (file_name, base), DIRSUF),",1b7b0d7853ed8fbbb72b9ee913e64752086254a480140a0279f2c2e49fdd5706
/home/capstone/Desktop/root/gdbm-1.18.1/compat/dbmopen.c,174,37,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  fd = ndbm_open_dir_file0 (strcat (strcpy (file_name, base), DIRSUF),",1b7b0d7853ed8fbbb72b9ee913e64752086254a480140a0279f2c2e49fdd5706
/home/capstone/Desktop/root/gdbm-1.18.1/compat/dbmopen.c,219,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy (pag_file, file);",1e53645da8d24fd311028b148030870255389edc5b919b4ee696466dec6e4775
/home/capstone/Desktop/root/gdbm-1.18.1/src/datconv.c,24,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  fprintf (fp, fmt, *(type*) ptr);              \",cd36e7ec483715ed42880ed20a5f4b30d9d97db3bb71405e96d2fe0f403d8fa3
/home/capstone/Desktop/root/gdbm-1.18.1/src/err.c,28,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf (stderr, fmt, ap);",a45fa3007961bfa313a47b861f567b2a1c48255b4b6d27c58ffb7ac36ef790ec
/home/capstone/Desktop/root/gdbm-1.18.1/src/gdbmerrno.c,168,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	  strcpy (dbf->last_errstr, errstr);",307fce3b2bf9197dc80a405b4daa39dab1cbe23d315e74bf9f9fd45eef7206b3
/home/capstone/Desktop/root/gdbm-1.18.1/src/gdbmerrno.c,170,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"	  strcat (dbf->last_errstr, syserrstr);",71c7f9c3912424d5578b6c488d03633401dea071712a454917a5d407a41a04e4
/home/capstone/Desktop/root/gdbm-1.18.1/src/gdbmtool.c,94,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	  access (dbname, F_OK) == 0)",cba7e3062239a5fb74aba23038d6de7768cc79dc3860b0e036a770dddb4acbf1
/home/capstone/Desktop/root/gdbm-1.18.1/src/gdbmtool.c,190,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf (fp, mesg, ap);",900741b202b7cf61cda859e07ab4a6cc228a85679dc5a6703a40d58ea5c4e588
/home/capstone/Desktop/root/gdbm-1.18.1/src/gdbmtool.c,446,2,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	fprintf (param->fp, ",42ba469b4f23947dbd4bcbccc5bfbc8dd5559d8d2548603f55e4ca2cd6a39a5c
