File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/gnupg2-2.2.19/common/sysutils.c,818,10,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"  return chmod (name, modestr_to_mode (modestr));",58482ae286e660ea16d912081e5de48fc831642cbad17e83d8fe2b823ae07ed3
/home/capstone/Desktop/root/gnupg2-2.2.19/g10/keyring.c,1374,40,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"    if (!stat (bakfname, &statbuf) && !chmod (fname, statbuf.st_mode))",ab1ad36196a8548ebb7f31fa375f4208aa25bf48060ec4a8c89fb2b13081fcef
/home/capstone/Desktop/root/gnupg2-2.2.19/tools/gpgtar-create.c,629,15,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","      nread = readlink (hdr->name, raw->linkname, sizeof raw->linkname -1);",cc099572c405374fbb209ced03617624e08ad11eb796611281b53c5abb174761
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/cache.c,391,11,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"          strcpy (r->key, key);",0815682ba1d2729479029a48ba2b76b20584d6ad7190bce700ec2d266bbe244e
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/call-pinentry.c,1099,11,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"          snprintf (line, DIM(line), L_(""SETERROR %s (try %d of %d)""),",e9ac6294d2e4f6f019e1ff6838cec4bf2f90fee47fee50169af4c22d9494f118
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/command-ssh.c,1098,7,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"      fprintf (cf->fp,",1666d0c5b6ebf59e5546e847919dea745573aedf25426a46d4ee236ca9011b7a
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/command-ssh.c,1206,9,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"        strcpy (r_hexgrip, cf->item.hexgrip);",7a7093a0a1ba972cc92176c35d2effb1f0f82788c2377741b79fba49812ce021
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/command.c,2578,3,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"  snprintf (keydata+keydatalen-1, 30, KEYTOCARD_TIMESTAMP_FORMAT, timestamp);",e8de89883d14a709191e682d3109f48310cff2a2e706d1d8401372acc22802cf
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/command.c,2711,11,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"          strcpy (vl->d, key);",ad4dad679c04823acb8f359935126ae292726db95f7d8b68ed68e1796de6dd0f
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/cvt-openpgp.c,958,17,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                strcpy (pi->pin, cache_value);",717af74875ec307fb86cb7e3b90750af142edb225dee2f1c38f2ad3ef4a5870c
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/cvt-openpgp.c,967,13,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            strcpy (pi->pin, passphrase);",f10bef460b69050c2733768168cf25304b6ff4ba75504109eafbbd2233d3951f
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/findkey.c,158,18,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"  if (!force && !access (fname, F_OK))",e8a0c63bb85c3824843785937e74fc562559d898e8b82f883cb0cf055ea05fec
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/findkey.c,1085,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy (r_algoname, algoname);",a61abd558ca2b83a1759c49cf36c73101b4a626c23fc81363ec971390549a361
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/findkey.c,1091,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy (r_elems, elems);",82086da41bab1d365e2f51b6e64a2e1bf3764f04cd7ab38b848869e7a5dede59
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/findkey.c,1362,13,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"  result = !access (fname, R_OK)? 0 : -1;",ec6d66fae951b2250cead417a7412b5c7fca72495c3c7cd5465d6baa9985d51b
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/gpg-agent.c,500,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy (stpcpy (stpcpy (result, libname), "" ""), s);",2530d358f2113007bcc4d57557b7f1b94d55bda8cdbe8cacf1ae97fc3780ef45
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/gpg-agent.c,1714,15,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"              execvp (argv[0], argv);",367354dd27edecc49bffceeb85f6d77907c76fe900c181f4b58aec2d06af5cf5
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/learncard.c,148,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy (item->hexgrip, line);",db3cf77c57ec1ff68e9ef680dd28d54addb972bc7d26ee33d39d6d0fc66f82ca
/home/capstone/Desktop/root/gnupg2-2.2.19/agent/learncard.c,218,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy (item->id, p);",f7255822920b388c53dace3e7e92c8047856b200ec78ce8a6ab791a07c73085d
