File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_alloc.c,92,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy((char *) raw_data, old);",a7c7e42a5eccb5d1b47642f41c07f701d2530cfc723922354e6eeac78f32707b
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_text.c,378,9,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"    p = sprintf(buf, ""=%s%s%s"",",f127ad204a1cb1dfd1e85663c4f2e2ba4e47e6c41bf4c59cb5e4c99c3948d225
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_text.c,396,15,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	        p += sprintf(p, ""%s,"", this_cap_name);",b3010f7bef0fb692da5c9af984a67fe48b532beb3295eb0cc9f2bd9c13b1b9d2
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_text.c,403,11,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	    p += sprintf(p, ""+%s%s%s"",",efa2525143a386441b7c2272481bd462b02d06b00f04aea1eca5b665ae29b044
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_text.c,410,11,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	    p += sprintf(p, ""-%s%s%s"",",cc973dc7f6883ca654c74b86ddc54987a342d76812d9c71dbcf71632d3eaec7f
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_text.c,439,8,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"		p += sprintf(p, ""%s,"", this_cap_name);",b3010f7bef0fb692da5c9af984a67fe48b532beb3295eb0cc9f2bd9c13b1b9d2
/home/capstone/Desktop/root/libcap2-2.32/libcap/cap_text.c,444,7,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	p += sprintf(p, ""+%s%s%s"",",efa2525143a386441b7c2272481bd462b02d06b00f04aea1eca5b665ae29b044
/home/capstone/Desktop/root/libcap2-2.32/libcap/libcap.h,161,5,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"    fprintf(stderr, f, ## x); \",c7c4a8c92c5ef082014d905f77500768defdd992ae68425f8e7abc51dbd78200
/home/capstone/Desktop/root/libcap2-2.32/progs/capsh.c,392,3,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"		sprintf(ptr, ""%s %s+i"", text, argv[i]+6);",4ac6aa3c43b5e1f1ed6a8b0047c899451c3504249ff766279ce96d0be8b59b82
/home/capstone/Desktop/root/libcap2-2.32/progs/capsh.c,394,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"		strcpy(ptr, text);",a48668544ac4f1a40c94f6a284e03d1a8f98aa121e5a89c79f39fd1dbfacd86b
/home/capstone/Desktop/root/libcap2-2.32/progs/old/execcap.c,60,5,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"    execvp(argv[2], argv+2);",1b1fb48f3fe0b3d084f9714acf4c2aa1c87e803dcf40ed4bd8883d1da2347204
