File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/openssl-1.1.1f/apps/rehash.c,67,9,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","ssize_t readlink(const char *pathname, char *buf, size_t bufsiz)",7048ff3e64f43175ad5b8af21d840a28484a0e175cfd268964ebf3d47d7d44b2
/home/capstone/Desktop/root/openssl-1.1.1f/apps/rehash.c,221,9,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    n = readlink(fullpath, linktarget, sizeof(linktarget));",700b5f92efa06014cabe0410f9231e5db162ad3ada350070bb35c8f537fcc9db
/home/capstone/Desktop/root/openssl-1.1.1f/crypto/rand/randfile.c,33,11,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,#  define chmod   _chmod,56010c5213a2541ddef756d036f41b032286a90a3da31462cf25b1a92ebcbf02
/home/capstone/Desktop/root/openssl-1.1.1f/crypto/rand/randfile.c,242,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"    chmod(file, 0600);",f2da408f551b04806afa3206fb249d17fae1087f8f7fa50ceb57bc32e54a593f
/home/capstone/Desktop/root/openssl-1.1.1f/include/openssl/bio.h,784,29,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","                      int (*gets) (BIO *, char *, int));",22518b9c6997a415bb1f9101473ae34ec2cf4f5bec78afff4f062bfda19d5e88
/home/capstone/Desktop/root/openssl-1.1.1f/apps/apps.c,2351,12,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"    return access(name, flag);",a42d79326645fcb980606c4db17e2e0a89804ce1d4e0b77d276c2cb5c1071d5f
/home/capstone/Desktop/root/openssl-1.1.1f/apps/engine.c,83,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(p, s);",ebfd2ed9639335b3bf5d24155991fefbc53b43df8a690468eb866487c75efe6d
/home/capstone/Desktop/root/openssl-1.1.1f/apps/ocsp.c,846,13,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"        if (vsnprintf(buf, sizeof(buf), fmt, ap) > 0) {",7b817092ce4dbf5f0cc0fb5f0bb3a7f07f05c2c51cfb14f2a0453bfe3ee7bd0a
/home/capstone/Desktop/root/openssl-1.1.1f/apps/openssl.c,110,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(p, t);",513fb1754cf3acd96204c39ac635553d8d52884304f1e1e79d5459aea5985b0b
/home/capstone/Desktop/root/openssl-1.1.1f/apps/openssl.c,114,5,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"    strcat(p, OPENSSL_CONF);",d5aa70ddc52ff04ed2bc5793622f8ad2c5acb958a959a4aa1b71c6d728be0465
/home/capstone/Desktop/root/openssl-1.1.1f/apps/openssl.c,230,33,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                    p += strlen(strcpy(p, text));",989f70da38d27b9efb5f438058fa095e6e45535525f32c13e3b9b5e5866d87a3
/home/capstone/Desktop/root/openssl-1.1.1f/apps/openssl.c,237,29,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"                p += strlen(strcpy(p, text));",989f70da38d27b9efb5f438058fa095e6e45535525f32c13e3b9b5e5866d87a3
/home/capstone/Desktop/root/openssl-1.1.1f/apps/opt.c,882,25,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            p += strlen(strcpy(p, o->name));",3a6f8d778268ffb7f7326809770d4ef056f9463eca1e5584e47fa82dd2a9d66f
/home/capstone/Desktop/root/openssl-1.1.1f/apps/opt.c,887,25,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"            p += strlen(strcpy(p, valtype2param(o)));",9ca19ba17e091bbf5386f3b77737166bfb110e36dfc9d45c95899891684799ed
/home/capstone/Desktop/root/openssl-1.1.1f/apps/speed.c,3232,13,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"            printf(mr ? "":%d"" : ""%7d bytes"", lengths[testnum]);",99f7beaf2215ce2df4ab76aff17579e864038075a96ed3725997cd4de904eb0d
/home/capstone/Desktop/root/openssl-1.1.1f/apps/speed.c,3247,17,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"                printf(mr ? "":%.2f"" : "" %11.2f "", results[k][testnum]);",93645cfb62b6e058f09ac214104c46571a530b183fb570f11affadce3e31767c
/home/capstone/Desktop/root/openssl-1.1.1f/apps/vms_term_sock.c,570,5,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"    sprintf (MsgBuff, ""%02d-%s-%04d %02d:%02d:%02d [%08X] %s\n"",",a207d1a51aeb0e7a44a66d38169555acc13c56a5996c1217733dc5647dbd9921
