File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/pciutils-3.6.4/lib/sysfs.c,130,7,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","  if (readlink(path, rel_path, sizeof(rel_path)) < 0)",7cf710e9240296f5ff021924c1a9891dece2e7bb5083ee334881ad80d98393a3
/home/capstone/Desktop/root/pciutils-3.6.4/ls-kernel.c,238,7,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","  n = readlink(name, buf, DRIVER_BUF_SIZE);",aba8d9b7861c4114fc656fb1ce4dd21fd691fbb0e691ffd505e3b6b43a25d126
/home/capstone/Desktop/root/pciutils-3.6.4/common.c,24,3,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"  vfprintf(stderr, msg, args);",fc8f5cf9b8c9e9ea8dfb95d168b6cfaf7af2f0b299fbbecd7be6af1e66296db6
/home/capstone/Desktop/root/pciutils-3.6.4/lib/access.c,246,21,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"  p = pci_malloc(d->access, sizeof(*p) + strlen(value));",72ca699d99cefd0b3cc888ae5e715c0390520cd7d6565a387cc0339e97f0b2e8
/home/capstone/Desktop/root/pciutils-3.6.4/lib/access.c,250,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(p->value, value);",53b4db66c774a5b291cc74294af32c37af67b13cc328a69bfc71deed128d4558
/home/capstone/Desktop/root/pciutils-3.6.4/lib/aix-device.c,93,3,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"  snprintf(command, sizeof (command), AIX_ODMGET_CMD, name);",7e885bc54cbbc5ebca03c776b02104b4abb150a3a852fdb6e5c31b43a7afcdf4
/home/capstone/Desktop/root/pciutils-3.6.4/lib/aix-device.c,94,17,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"  odmget_pipe = popen(command, ""r"");",6ffffe74b24b2ee7293edecece55acc369a9693804b387d4d2cc26cf5f3deb6d
/home/capstone/Desktop/root/pciutils-3.6.4/lib/aix-device.c,135,16,4,shell,popen,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"  lsdev_pipe = popen(command, ""r"");",625a37697ce166aaf8d3e8ced1c8c3925c593dcc4a4c04b41a74c2048dad218c
/home/capstone/Desktop/root/pciutils-3.6.4/lib/aix-device.c,149,7,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"      strcpy(name, buf);",e718ea3b03b2cec88f739e8af8fdc7550f4b41c242e7531368cba829f844dcbb
/home/capstone/Desktop/root/pciutils-3.6.4/lib/aix-device.c,224,24,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"  fd = aix_bus_open(d->access, d->bus);",772ed77aba897281689a3167648103e0f55207db18e70ab0fbe10e50f637e7aa
