File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/perl-5.30.0/NetWare/nw5.c,81,12,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"    return chmod(path, mode);",633f4fee940ec6b1a18693e05340202bac5b82918f65d00afdc99d9073c526b7
/home/capstone/Desktop/root/perl-5.30.0/XSUB.h,588,13,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,#    define chmod		PerlLIO_chmod,978098c20ff064d350c12218f8d3934eabfc7642f8a41f443f939e6836cb4e38
/home/capstone/Desktop/root/perl-5.30.0/caretx.c,112,19,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    SSize_t len = readlink(PROCSELFEXE_PATH, buf, sizeof(buf) - 1);",db6834534d0e38a8a19c3c29444c21aba26c137f8b8f56c535d6398258885b52
/home/capstone/Desktop/root/perl-5.30.0/iperlsys.h,738,35,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"#define PerlLIO_chmod(file, mode)	chmod((file), (mode))",5a891af3ebd9c90659c25017550786521fc1d4060bba6b46eabd8d444016e1b6
/home/capstone/Desktop/root/perl-5.30.0/iperlsys.h,739,41,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"#define PerlLIO_chown(file, owner, grp)	chown((file), (owner), (grp))",658b4758e9534fd2b14a861330ff6a0930846bfe94b2d2f1b4a6869d37db9260
/home/capstone/Desktop/root/perl-5.30.0/os2/os2.c,1782,8,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,#undef chmod,983eca9c06e173136ac6d6d20f76dd6846bbe804fdba7a36fb22b7aa218eaa6a
/home/capstone/Desktop/root/perl-5.30.0/os2/os2.c,1789,9,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	return chmod(name, pmode);",fcbeafd12d6b99efa81c51f96fa6c4e10fe4d205b380afad6db444049ba30af2
/home/capstone/Desktop/root/perl-5.30.0/os2/os2ish.h,451,9,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"#define chmod(path,mode)   os2_chmod((path),(mode))",66cad192bb46e56c6cc4abeb1933a64a3c65b632c01b36896038a2931f0e3bc2
/home/capstone/Desktop/root/perl-5.30.0/pp_sys.c,3824,11,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","    len = readlink(tmps, buf, sizeof(buf) - 1);",10629847d380884cdf22091650ec1b8b83719ed984707278f8e2143add08da09
/home/capstone/Desktop/root/perl-5.30.0/vms/vms.c,2147,9,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"  ret = chmod(changefile, mode);",6a2170a4c402cfc487e26721133e7381249142f4adf116c2358d177dcf5bc115
/home/capstone/Desktop/root/perl-5.30.0/vms/vmsish.h,498,9,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"#define chmod(file_spec, mode) my_chmod((file_spec), (mode))",b8c47e61a70e753d9930961d3caab75db01b5acff8674fadea68bfb5a6f620f0
/home/capstone/Desktop/root/perl-5.30.0/win32/perlhost.h,932,12,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"    return chown(filename, owner, group);",8c4deba0d874d4599b8060462468dec6729993835e5095b95c69ef956fdb305c
/home/capstone/Desktop/root/perl-5.30.0/win32/win32.c,1136,1,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"chown(const char *path, uid_t owner, gid_t group)",b2306111f581ed793221c227fa8fee5cc2f0b320003cc9a99d31f597c561c425
