File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/wget-1.21.1/lib/canonicalize.c,345,23,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","                  n = readlink (rname, buf, bufsize - 1);",df64cfe23dfe07844e98a77b62bfe9ae31bd57307bf8c3034056cacfd7adebc2
/home/capstone/Desktop/root/wget-1.21.1/lib/readlink.c,32,1,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","readlink (char const *file, char *buf _GL_UNUSED,",8491c93dae6773d45457846e9a7ac1e52fc8a5d78c852ef2fea388774bbba623
/home/capstone/Desktop/root/wget-1.21.1/lib/readlink.c,47,9,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20",# undef readlink,c300eacea2069e7aa56def94c01db834a66102e8ce41d68d976b65ae22a0c0f8
/home/capstone/Desktop/root/wget-1.21.1/lib/readlink.c,72,15,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","  ssize_t r = readlink (file, buf, bufsize);",96ff854b3e1de172958d5094c69df362c57757e3d8e8a610cace53019fdc325e
/home/capstone/Desktop/root/wget-1.21.1/lib/readlink.c,80,11,5,race,readlink,"This accepts filename arguments; if an attacker can move those files or change the link content, a race condition results.  Also, it does not terminate with ASCII NUL. (CWE-362, CWE-20)",Reconsider approach,,"CWE-362, CWE-20","      r = readlink (file, stackbuf, sizeof stackbuf);",14eec8eac9adb7afb203d82eae29882ce5bb5bfe12116d7bae5247d7f17a169c
/home/capstone/Desktop/root/wget-1.21.1/lib/stdio.in.h,897,8,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20",#undef gets,dd283fd71ce69b868fcae945217360e058d952eed916c03096ab6bec5fa7bd8a
/home/capstone/Desktop/root/wget-1.21.1/lib/stdio.in.h,899,18,5,buffer,gets,"Does not check for buffer overflows (CWE-120, CWE-20)",Use fgets() instead,,"CWE-120, CWE-20","_GL_WARN_ON_USE (gets, ""gets is a security hole - use fgets instead"");",e2c6057e23052072257b19e6c6368d87401351d7661c72c900b11e190e0a1f2f
/home/capstone/Desktop/root/wget-1.21.1/lib/sys_stat.in.h,400,11,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,#   undef chmod,57f7a4ea75f693161407d8f9b012e9b7265e12b65841f3af158f72551e773bd6
/home/capstone/Desktop/root/wget-1.21.1/lib/sys_stat.in.h,401,12,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,#   define chmod _chmod,86fa012168e543600ab3469925b5bde608add8ed2d3a24772d48ce24622c79a7
/home/capstone/Desktop/root/wget-1.21.1/lib/sys_stat.in.h,404,24,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"_GL_CXXALIAS_MDA_CAST (chmod, int, (const char *filename, mode_t mode));",751788e255e241f43cd0f1acb258cedd02e4602cf7055545aba0cf8876ac4eb0
/home/capstone/Desktop/root/wget-1.21.1/lib/sys_stat.in.h,406,19,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"_GL_CXXALIAS_SYS (chmod, int, (const char *filename, mode_t mode));",6cb647a80dfb3174808dc526571ca47bd566c210a8ce34d3fcb0c69d19272d22
/home/capstone/Desktop/root/wget-1.21.1/lib/sys_stat.in.h,408,19,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,_GL_CXXALIASWARN (chmod);,3f2af25dcbd07a295016819ff5a7b6b3f42c12f2deeb91336744a24f5b59b360
/home/capstone/Desktop/root/wget-1.21.1/lib/unistd.in.h,321,18,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_WARN_ON_USE (chown, ""chdir is not always in <unistd.h> - """,223a1b900933cfa960d7f6cfb6158fb68253c44412959d62226516a61e4f5586
/home/capstone/Desktop/root/wget-1.21.1/lib/unistd.in.h,349,11,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,#   undef chown,b1265493f020918e852b08d4af6bf757f838d0ef63e411fe3609cd946d9a66a6
/home/capstone/Desktop/root/wget-1.21.1/lib/unistd.in.h,350,12,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,#   define chown rpl_chown,c94032a2453b1a7833b16dc60dbefa355c36377879c133e839658f44b9233af8
/home/capstone/Desktop/root/wget-1.21.1/lib/unistd.in.h,352,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_FUNCDECL_RPL (chown, int, (const char *file, uid_t uid, gid_t gid)",bd4f26b566441aed9a73522e7e466fb7e4de5f16d82b908149a05c2fc1209780
/home/capstone/Desktop/root/wget-1.21.1/lib/unistd.in.h,354,19,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"_GL_CXXALIAS_RPL (chown, int, (const char *file, uid_t uid, gid_t gid));",cbec4ddc5fa2c4dc5f60127179dbb553d88c78949781dd960a6aca731f1ddc72
